Debit,DATE,Description,Credit,Amount,,,,,
Citi Double Cash Back,11/24/2020,USA*D & J ENTERPRISES HUGHESVILLE MD,Groceries,$0.75 ,,,,,
Capital One Checking,11/24/2020,Transfer,SquareCash,$33.00 ,,,,,
Capital One Checking,11/24/2020,Transfer,SquareCash,$120.00 ,,,,,
SquareCash,11/24/2020,Paid Ward for Syds Insurance and Phone,Syds Insurance,$33.00 ,,,,,
SquareCash,11/24/2020,Paid Lior for phone,Phone Bill,$120.00 ,,,,,
SquareCash,11/24/2020,Paid Lior for Car,Car Payments,$198.00 ,,,,,
Citi Double Cash Back,11/24/2020,APPRAISAL LOGISTICS ANNAPOLIS MD,Personal,$475.00 ,,,,,
Capital One Checking,11/24/2020,Transfer,SquareCash,$198.00 ,,,,,
AMEX Blue Cash,11/25/2020,WEGMANS,Groceries,$19.16 ,,,,,
Citi Double Cash Back,11/25/2020,USA*D & J ENTERPRISES HUGHESVILLE MD,Groceries,$0.75 ,,,,,
Capital One Checking,11/26/2020,PAYMENT - Thank You,Amazon Store Card,$374.94 ,,,,,
Capital One Checking,11/26/2020,PAYMENT - Thank You,AMEX Blue Cash,$735.38 ,,,,,
Capital One Checking,11/26/2020,PAYMENT - Thank You,Capital One Savor,$130.16 ,,,,,
Capital One Savor,11/27/2020,LARK BROWN LIQUOR ELKRIDGE MD,Alcohol/Bars,$14.16 ,,,,,
Citi Double Cash Back,11/27/2020,DUNKIN' MOBILE 8004470013 MA,Coffee Shops,$15.00 ,,,,,
Capital One Checking,11/27/2020,Royal Farms,Gas,$25.21 ,,,,,
Citi Double Cash Back,11/28/2020,DUNKIN' MOBILE 8004470013 MA,Coffee Shops,$50.00 ,,,,,
Citi Double Cash Back,11/28/2020,WAL-MART #5228 Columbia MD,Clothing,$13.19 ,,,,,
Apple Card,11/28/2020,REI,Clothing,$100.23 ,,,,,
AMEX Blue Cash,11/30/2020,AplPay ALDI 71083 00ELKRIDGE            MD,Groceries,$5.86 ,,,,,
Capital One Savor,11/30/2020,YOGI Castle,Snacks,$19.43 ,,,,,
Capital One Checking,11/30/2020,PAYMENT - Thank You,Citi Double Cash Back,"$1,068.24 ",,,,,
Capital One Checking,11/30/2020,PAYMENT - Thank You,Apple Card,$111.47 ,,,,,
Checking Interest,11/30/2020,Checking Interest,Capital One Checking,$1.47 ,,,,,
Dining Out,11/30/2020,Transfer,Capital One Checking,$50.00 ,,,,,
Savings Interest,11/30/2020,Monthly Interest Paid,Capital One Savings,$20.65 ,,,,,
BofA Cash Card,12/1/2020,AIRBNB HM5BSNCPTS,Activities,$343.79 ,,,,,
Citi Double Cash Back,12/1/2020,USA*D & J ENTERPRISES HUGHESVILLE MD,Groceries,$0.75 ,,,,,
Capital One Checking,12/1/2020,Royal Farms,Gas,$22.72 ,,,,,
AMEX Blue Cash,12/2/2020,AplPay ALDI 71083 00ELKRIDGE            MD,Groceries,$135.55 ,,,,,
Capital One Savor,12/2/2020,Katana Sushi,Delivery/ Carry-Out,$85.00 ,,,,,
Citi Double Cash Back,12/2/2020,APPLE.COM/BILL 866-712-7753 CA,Electronics,$2.99 ,,,,,
Citi Double Cash Back,12/2/2020,LCA*LABCORP (LCBS),Doctor Visit,$72.39 ,,,,,
Capital One Checking,12/2/2020,GREYSTAR-MDSHEC-,Apartment,"$1,593.43 ",,,,,
Capital One Checking,12/2/2020,Transfer,Paypal,$57.21 ,,,,,
Paypal,12/2/2020,ShutterFly,Gifts,$57.21 ,,,,,
Capital One Checking,12/3/2020,BALTIMOREGAS RES,Apartment,$81.95 ,,,,,
Citi Double Cash Back,12/4/2020,USA*D & J ENTERPRISES HUGHESVILLE MD,Groceries,$0.75 ,,,,,
Various Income,12/4/2020,Unclamied property Check,Capital One Checking,$55.50 ,,,,,
Activities,12/4/2020,Transfer from PayPal for AirBnB,Capital One Checking,$64.00 ,,,,,
AMEX Blue Cash,12/5/2020,AplPay WEIS MARKETS ELKRIDGE            MD,Groceries,$25.97 ,,,,,
Apple Card,12/5/2020,CVS Pharmacy,Pharmacy,$22.97 ,,,,,
Auto Insurance,12/6/2020,GEICO *AUTO MACON DC,Citi Double Cash Back,$551.51 ,,,,,
Auto Insurance,12/6/2020,GEICO *AUTO MACON DC,Citi Double Cash Back,$65.77 ,,,,,
Capital One Savor,12/7/2020,McDonalds,Snacks,$6.13 ,,,,,
Capital One Savor,12/7/2020,Chick-Fil-A,Delivery/ Carry-Out,$23.08 ,,,,,
Citi Double Cash Back,12/7/2020,SQ *UNCLE JONS SOAP,Grooming,$18.90 ,,,,,
Citi Double Cash Back,12/7/2020,ALLCARE OF MD COLUMBIA MD,Doctor Visit,$15.00 ,,,,,
Citi Double Cash Back,12/7/2020,CVS/PHARMACY #01909 ELKRIDGE,Pharmacy,$2.33 ,,,,,
Citi Double Cash Back,12/7/2020,UBER EATS 8005928996 CA,Delivery/ Carry-Out,$33.00 ,,,,,
CACI,12/7/2020,PAYCHECK,Capital One Savings,"$1,570.25 ",,,,,
CACI,12/7/2020,PAYCHECK,Capital One Savings,$615.51 ,,,,,
CACI,12/7/2020,PAYCHECK,TD Bank,$514.00 ,,,,,
CACI,12/7/2020,PAYCHECK,TD Bank,$512.00 ,,,,,
CACI,12/7/2020,PAYCHECK,HSA,$75.00 ,,,,,
CACI,12/7/2020,PAYCHECK,401k,$293.66 ,,,,,
CACI,12/7/2020,PAYCHECK,401k - Syd,$375.90 ,,,,,
CACI Contr.,12/7/2020,PAYCHECK,401k,$146.83 ,,,,,
CACI Contr.,12/7/2020,PAYCHECK,401k - Syd,$187.80 ,,,,,
CACI,12/7/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,12/7/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
Amazon Store Card,12/13/2020,AMAZON MARKETPLACE SEATTLE WA,Gifts,$31.79 ,,,,,
Amazon Store Card,12/13/2020,AMAZON MARKETPLACE SEATTLE WA,Gifts,$133.11 ,,,,,
Amazon Store Card,12/14/2020,AMAZON MARKETPLACE SEATTLE WA,Gifts,$132.47 ,,,,,
Amazon Store Card,12/14/2020,AMAZON MARKETPLACE SEATTLE WA,Home,$72.08 ,,,,,
AMEX Blue Cash,12/14/2020,AplPay ALDI 71083 00ELKRIDGE            MD,Groceries,$75.17 ,,,,,
Capital One Savor,12/14/2020,McDonalds,Snacks,$6.13 ,,,,,
Capital One Savings,12/14/2020,Transfer,Capital One Checking,"$10,000.00 ",,,,,
AMEX Blue Cash,12/15/2020,Food City Newport TN,Groceries,$82.02 ,,,,,
Capital One Savor,12/15/2020,LARK BROWN LIQUOR ELKRIDGE MD,Alcohol/Bars,$14.16 ,,,,,
Citi Double Cash Back,12/15/2020,BP#1665587ROAD RUNNQPS,Gas,$43.56 ,,,,,
Citi Double Cash Back,12/15/2020,Spotify USA New York NY,Spotify,$12.99 ,,,,,
Capital One Checking,12/15/2020,Verizon,Verizon,$60.71 ,,,,,
Capital One Checking,12/15/2020,Royal Farms,Gas,$18.82 ,,,,,
Capital One Savor,12/16/2020,SQ *ONE LOVE COFFEE HO,Coffee Shops,$15.87 ,,,,,
Citi Double Cash Back,12/16/2020,Classic T's GatlinBurg,Clothing,$20.84 ,,,,,
Citi Double Cash Back,12/16/2020,HOLIDAY PARKING GATLINGBURG,Parking,$12.00 ,,,,,
Apple Card,12/16/2020,Red Mill Monograms,Home,$35.00 ,,,,,
Apple Card,12/16/2020,Tennessee Cider Co,Alcohol/Bars,$21.95 ,,,,,
Apple Card,12/16/2020,Nike,Clothing,$65.83 ,,,,,
Capital One Savor,12/17/2020,Delauder BBQ,Dining Out,$46.43 ,,,,,
Capital One Savor,12/17/2020,Burger King,Delivery/ Carry-Out,$7.28 ,,,,,
Capital One Checking,12/17/2020,Royal Farms,Gas,$27.92 ,,,,,
Citi Double Cash Back,12/19/2020,EXXONMOBIL,Gas,$44.19 ,,,,,
Citi Double Cash Back,12/19/2020,EXXONMOBIL,Gas,$15.00 ,,,,,
Capital One Checking,12/19/2020,Wire Withdrawal to Universal Title,Home,"$22,100.00 ",,,,,
Capital One Checking,12/19/2020,Wire Withdrawal Fee,Home,$30.00 ,,,,,
Amazon Store Card,12/21/2020,AMAZON MARKETPLACE SEATTLE WA,Home,$105.95 ,,,,,
Capital One Savor,12/21/2020,Chick-Fil-A,Delivery/ Carry-Out,$18.86 ,,,,,
Capital One Savor,12/21/2020,Squisito Pizza and Pasta,Delivery/ Carry-Out,$24.00 ,,,,,
Apple Card,12/21/2020,Minute Key,Home,$21.20 ,,,,,
Amazon Store Card,12/22/2020,AMAZON MARKETPLACE SEATTLE WA,Home,$269.00 ,,,,,
Amazon Store Card,12/22/2020,AMAZON RETAIL SEATTLE WA,Apartment Stuff,$10.57 ,,,,,
AMEX Blue Cash,12/22/2020,Aldi,Groceries,$166.41 ,,,,,
Capital One Savor,12/22/2020,CHINA SEA EXPRESS,Delivery/ Carry-Out,$33.81 ,,,,,
Citi Double Cash Back,12/22/2020,Quip NYC,Pharmacy,$15.90 ,,,,,
CACI,12/22/2020,PAYCHECK,Capital One Savings,"$1,570.25 ",,,,,
CACI,12/22/2020,PAYCHECK,Capital One Savings,$615.50 ,,,,,
CACI,12/22/2020,PAYCHECK,TD Bank,$514.00 ,,,,,
CACI,12/22/2020,PAYCHECK,TD Bank,$512.00 ,,,,,
CACI,12/22/2020,PAYCHECK,HSA,$75.00 ,,,,,
CACI,12/22/2020,PAYCHECK,401k,$293.66 ,,,,,
CACI,12/22/2020,PAYCHECK,401k - Syd,$375.90 ,,,,,
CACI Contr.,12/22/2020,PAYCHECK,401k,$146.83 ,,,,,
CACI Contr.,12/22/2020,PAYCHECK,401k - Syd,$187.80 ,,,,,
CACI,12/22/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
CACI,12/22/2020,PAYCHECK,Capital One Checking,"$1,145.00 ",,,,,
Home,12/22/2020,Overypayment from Universal Title,Capital One Checking,$154.34 ,,,,,
Citi Double Cash Back,12/23/2020,USA*D & J ENTERPRISES HUGHESVILLE MD,Groceries,$0.75 ,,,,,
Citi Double Cash Back,12/23/2020,The Home Depot,Home,$55.20 ,,,,,
TD Bank,12/23/2020,Dept Education Student Ln,Nelnet Loan,"$2,046.30 ",,,,,
SquareCash,12/23/2020,Paid Ward for Syds Insurance and Phone,Syds Insurance,$120.00 ,,,,,
SquareCash,12/23/2020,Paid Lior for phone,Phone Bill,$33.00 ,,,,,
Capital One Checking,12/23/2020,Transfer,SquareCash,$120.00 ,,,,,
Capital One Checking,12/23/2020,Transfer,SquareCash,$33.00 ,,,,,
Dining Out,12/23/2020,Transfer,Capital One Checking,$150.00 ,,,,,
Citi Double Cash Back,12/24/2020,USA*D & J ENTERPRISES HUGHESVILLE MD,Groceries,$0.75 ,,,,,
Home,12/24/2020,Ward and Jeanine gave us a gift for the house,Capital One Checking,"$11,000.00 ",,,,,
Doctor Visit,12/24/2020,HSA Reimbursement,Capital One Checking,$72.39 ,,,,,
Capital One Checking,12/29/2020,PAYMENT - Thank You,Amazon Store Card,"$1,106.91 ",,,,,
Capital One Checking,12/29/2020,PAYMENT - Thank You,AMEX Blue Cash,$490.98 ,,,,,
Capital One Checking,12/29/2020,PAYMENT - Thank You,BofA Cash Card,$343.79 ,,,,,
Capital One Checking,12/29/2020,PAYMENT - Thank You,Capital One Savor,$300.18 ,,,,,
Capital One Checking,12/29/2020,PAYMENT - Thank You,Apple Card,$166.95 ,,,,,
Amazon Store Card,12/26/2020,AMAZON MARKETPLACE SEATTLE WA,Home,$231.24 ,,,,,
Amazon Store Card,12/30/2020,AMAZON MARKETPLACE SEATTLE WA,Gifts,$126.10 ,,,,,
Home,12/31/2020,AMAZON MARKETPLACE SEATTLE WA,Amazon Store Card,$85.51 ,,,,,
Home,12/31/2020,AMAZON MARKETPLACE SEATTLE WA,Amazon Store Card,$59.34 ,,,,,
Gifts,12/31/2020,AMAZON MARKETPLACE SEATTLE WA,Amazon Store Card,$30.74 ,,,,,
Gifts,12/31/2020,AMAZON MARKETPLACE SEATTLE WA,Amazon Store Card,$33.91 ,,,,,
AMEX Blue Cash,12/31/2020,Wegmans,Groceries,$150.63 ,,,,,
Capital One Savor,12/29/2020,Chipotle,Delivery/ Carry-Out,$20.30 ,,,,,
Citi Double Cash Back,12/25/2020,DUNKIN' MOBILE 8004470013 MA,Coffee Shops,$10.00 ,,,,,
Home,12/26/2020,THE HOME DEPOT #2575 COLUMBIA MD,Citi Double Cash Back,$30.66 ,,,,,
Citi Double Cash Back,12/26/2020,THE HOME DEPOT #2575 COLUMBIA MD,Home,$168.02 ,,,,,
Citi Double Cash Back,12/26/2020,CVS/PHARMACY #01909 ELKRIDGE MD,Pharmacy,$27.83 ,,,,,
Citi Double Cash Back,12/27/2020,THE HOME DEPOT #2575 COLUMBIA MD,Home,$157.92 ,,,,,
Citi Double Cash Back,12/28/2020,VIVI BUBBLE TEA HANOVER MD,Snacks,$6.67 ,,,,,
Citi Double Cash Back,12/28/2020,LOWES #02244* ELKRIDGE MD,Home,$71.42 ,,,,,
Citi Double Cash Back,12/29/2020,USA*D & J ENTERPRISES HUGHESVILLE MD,Groceries,$0.75 ,,,,,
Citi Double Cash Back,12/30/2020,ERIEINSURANCEWEB 800-458-0811 PA,Auto Insurance,"$1,896.00 ",,,,,
Citi Double Cash Back,12/30/2020,ERIEINSURANCEWEB 800-458-0811 PA,Auto Insurance,$156.00 ,,,,,
Citi Double Cash Back,12/31/2020,LOWES #00624* BALTIMORE MD,Home,$46.04 ,,,,,
Checking Interest,12/31/2020,Monthly Interest Paid,Capital One Checking,$1.45 ,,,,,
Capital One Checking,12/28/2020,Royal Farms,Gas,$54.93 ,,,,,
Capital One Checking,12/31/2020,Royal Farms,Gas,$25.60 ,,,,,
Savings Interest,12/31/2020,Monthly Interest Paid,Capital One Savings,$15.61 ,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
